id,value
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Huperzia.suberecta,2.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodiella,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodiella.cernua,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodiella.inundata,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium,2.455
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.alpinum,2.667
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.annotinum,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.clavatum,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.complanatum,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.issleri,2.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.madeirense,1.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.oellgaardii,2.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.tristachyum,2.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.LYCOPODIALES.LYCOPODIACEAE.Lycopodium.zeilleri,2.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE.Selaginella,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE.Selaginella.denticulata,2.333
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE.Selaginella.helvetica,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE.Selaginella.kraussiana,3.0
PLANTAE.TRACHEOPHYTA.LYCOPODIOPSIDA.SELAGINELLALES.SELAGINELLACEAE.Selaginella.selaginoides,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA,2.353
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.CYATHEALES,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.CYATHEALES.CYATHEACEAE,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.CYATHEALES.CYATHEACEAE.Culcita,2.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.CYATHEALES.CYATHEACEAE.Culcita.macrocarpa,0.75
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES,2.2
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE,2.2
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Hymenophyllum,1.667
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Hymenophyllum.maderense,-1.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Hymenophyllum.tunbrigense,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Hymenophyllum.wilsonii,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Trichomanes,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.HYMENOPHYLLALES.HYMENOPHYLLACEAE.Trichomanes.speciosum,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.OSMUNDALES,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.OSMUNDALES.OSMUNDACEAE,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.OSMUNDALES.OSMUNDACEAE.Osmunda,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.OSMUNDALES.OSMUNDACEAE.Osmunda.regalis,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.POLYPODIALES,2.496
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.POLYPODIALES.ASPLENIACEAE,2.426
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.POLYPODIALES.ASPLENIACEAE.Asplenium,2.231
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.POLYPODIALES.ASPLENIACEAE.Asplenium.adiantum-nigrum,3.0
PLANTAE.TRACHEOPHYTA.POLYPODIOPSIDA.POLYPODIALES.ASPLENIACEAE.Asplenium.adulterinum,2.0
